Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
Bruno Fernandes;26;Portugal;88;Manchester United;107.5M;Right;18;CAM
L. Goretzka;26;Germany;87;FC Bayern München;93M;Right;8;CM
L. Suárez;34;Uruguay;88;Atlético de Madrid;44.5M;Right;9;ST
K. De Bruyne;30;Belgium;91;Manchester City;125.5M;Right;17;CM
M. Acuña;29;Argentina;84;Sevilla FC;37M;Left;19;LB
J. Kimmich;26;Germany;89;FC Bayern München;108M;Right;6;CDM
Paulinho;32;Brazil;83;Al Ahli;28.5M;Right;15;CM
G. Wijnaldum;30;Netherlands;84;Paris Saint-Germain;40.5M;Right;18;CM
E. Can;27;Germany;82;Borussia Dortmund;35M;Right;23;CDM
A. Griezmann;30;France;85;Atlético de Madrid;53M;Left;8;CAM
L. Modrić;35;Croatia;87;Real Madrid CF;32M;Right;10;CM
Marcos Llorente;26;Spain;86;Atlético de Madrid;88M;Right;14;CAM
Sergio Ramos;35;Spain;88;Paris Saint-Germain;24M;Right;4;CB
D. Alaba;29;Austria;84;Real Madrid CF;35.5M;Left;4;CB
Merino;25;Spain;83;Real Sociedad;50M;Left;8;CM
N. Barella;24;Italy;84;Inter;63.5M;Right;23;CM
Alex Telles;28;Brazil;82;Manchester United;27.5M;Left;27;LB
F. de Jong;24;Netherlands;87;FC Barcelona;119.5M;Right;21;CM
M. Sabitzer;27;Austria;84;FC Bayern München;48M;Right;18;CM
J. Cuadrado;33;Colombia;83;Juventus;19M;Right;11;RB
Koke;29;Spain;85;Atlético de Madrid;52.5M;Right;6;CM
João Cancelo;27;Portugal;86;Manchester City;71.5M;Right;27;RB
L. Digne;27;France;84;Everton;40.5M;Left;12;LB
F. Kostić;28;Serbia;84;Eintracht Frankfurt;42.5M;Left;10;LM
T. Alexander-Arnold;22;England;87;Liverpool;114M;Right;66;RB
S. Milinković-Savić;26;Serbia;85;Lazio;66M;Right;21;CM
A. Vidal;34;Chile;81;Inter;12M;Right;22;CM
P. Pogba;28;France;87;Manchester United;79.5M;Right;6;CM
Casemiro;29;Brazil;89;Real Madrid CF;88M;Right;14;CDM
L. Messi;34;Argentina;93;Paris Saint-Germain;78M;Left;30;RW
Renato Sanches;23;Portugal;80;LOSC Lille;33M;Right;18;CAM
L. Ocampos;26;Argentina;83;Sevilla FC;39.5M;Right;5;LW
Jordi Alba;32;Spain;86;FC Barcelona;47M;Left;18;LB
R. Lewandowski;32;Poland;92;FC Bayern München;119.5M;Right;9;ST
M. Salah;29;Egypt;89;Liverpool;101M;Left;11;RW
Angeliño;24;Spain;83;RB Leipzig;46M;Left;3;LM
Cristiano Ronaldo;36;Portugal;91;Manchester United;45M;Right;7;ST
12 Roberto Carlos;38;Brazil;79;FC Anzhi Makhachkala;0;Left;3;CDM
Canales;30;Spain;83;Real Betis Balompié;34.5M;Left;10;CAM
H. Kane;27;England;90;Tottenham Hotspur;129.5M;Right;10;ST
19 Dani Alves;35;Brazil;82;Paris Saint-Germain;4.8M;Right;13;CAM
M. Brozović;28;Croatia;84;Inter;37M;Right;77;CDM
M. Verratti;28;Italy;87;Paris Saint-Germain;79.5M;Right;6;CM
Saúl;26;Spain;82;Chelsea;39.5M;Left;17;CM
Thiago;30;Spain;86;Liverpool;65M;Right;6;CM
J. Veretout;28;France;82;Roma;29.5M;Right;17;CDM
J. Henderson;31;England;84;Liverpool;29.5M;Right;14;CDM
I. Gündoğan;30;Germany;85;Manchester City;51.5M;Right;8;CM
R. Nainggolan;33;Belgium;80;Royal Antwerp FC;13M;Right;4;CAM
T. Delaney;29;Denmark;81;Sevilla FC;22M;Left;18;CB
Lucas Paquetá;23;Brazil;81;Olympique Lyonnais;37M;Left;10;CAM
F. Kessié;24;Côte d'Ivoire;84;AC Milan;49.5M;Right;79;CDM
R. Malinovskyi;28;Ukraine;81;Atalanta;26.5M;Left;18;CF
K. Walker;31;England;85;Manchester City;39M;Right;2;RB
R. Gosens;26;Germany;83;Atalanta;36M;Left;8;LWB
S. Mané;29;Senegal;89;Liverpool;101M;Right;10;LW
L. Pellegrini;25;Italy;81;Roma;38M;Right;7;CAM
D. Wass;32;Denmark;80;Valencia CF;16.5M;Right;18;CM
A. Hakimi;22;Morocco;85;Paris Saint-Germain;69.5M;Right;2;RB
Y. Tielemans;24;Belgium;84;Leicester City;57M;Right;8;CM
Ricardo Pereira;27;Portugal;84;Leicester City;40.5M;Right;21;RB
T. Hernández;23;France;84;AC Milan;62.5M;Left;19;LB
Grimaldo;25;Spain;82;SL Benfica;37M;Left;3;CM
21 Renato Augusto;32;Brazil;83;Beijing Guoan FC;28.5M;Right;5;CM
Neymar Jr;29;Brazil;91;Paris Saint-Germain;129M;Right;10;LW
K. Trippier;30;England;84;Atlético de Madrid;36.5M;Right;23;RB
N. De la Cruz;24;Uruguay;78;River Plate;22M;Right;11;CAM
12 M. Ballack;34;Germany;80;Bayer 04 Leverkusen;3.2M;Right;13;CM
Roberto Firmino;29;Brazil;85;Liverpool;54M;Right;9;CF
19 C. Marchisio;31;Italy;84;Juventus;19.5M;Right;8;CM
R. De Paul;27;Argentina;82;Atlético de Madrid;35M;Right;5;CM
N. Kanté;30;France;90;Chelsea;100M;Right;7;CDM
A. Florenzi;30;Italy;81;AC Milan;22M;Right;25;RB
Yuri Berchiche;31;Spain;82;Athletic Club de Bilbao;22M;Left;17;LB
G. Bale;31;Wales;82;Real Madrid CF;25M;Left;18;RM
Portu;29;Spain;82;Real Sociedad;30M;Right;7;RW
A. Di María;33;Argentina;87;Paris Saint-Germain;49.5M;Left;11;RW
21 I. Fernández;30;Argentina;81;River Plate;24.5M;Left;10;CM
Jesús Navas;35;Spain;84;Sevilla FC;13M;Right;16;RB
F. Valverde;22;Uruguay;83;Real Madrid CF;58M;Right;15;CM
R. Guerreiro;27;Portugal;84;Borussia Dortmund;40.5M;Left;13;LB
L. Paredes;27;Argentina;81;Paris Saint-Germain;28M;Right;8;CM
K. Mbappé;22;France;91;Paris Saint-Germain;194M;Right;7;ST
G. Lo Celso;25;Argentina;81;Tottenham Hotspur;35.5M;Left;18;CAM
19 D. Srna;36;Croatia;78;Cagliari;1.2M;Right;33;CM
A. Kolarov;35;Serbia;78;Inter;4.3M;Left;11;LB
Fred;28;Brazil;81;Manchester United;22.5M;Left;17;CDM
Carlos Soler;24;Spain;81;Valencia CF;51.5M;Right;10;CAM
19 C. Noboa;33;Ecuador;79;;0;Right;6;CM
Rúben Neves;24;Portugal;82;Wolverhampton Wanderers;46M;Right;8;CM
Anderson Talisca;27;Brazil;82;Al Nassr;35.5M;Left;94;CAM
J. Corona;28;Mexico;82;FC Porto;30.5M;Right;17;RM
Parejo;32;Spain;86;Villarreal CF;53.5M;Right;5;CM
C. Tolisso;26;France;80;FC Bayern München;24.5M;Right;24;CM
A. Witsel;32;Belgium;83;Borussia Dortmund;24M;Right;28;CDM
Raúl García;34;Spain;80;Athletic Club de Bilbao;10.5M;Right;22;CM
Fabinho;27;Brazil;86;Liverpool;73.5M;Right;3;CDM
A. Robertson;27;Scotland;87;Liverpool;83.5M;Left;26;LB
T. Partey;28;Ghana;83;Arsenal;36.5M;Right;5;CM
L. Robertone;24;Argentina;76;Unión Deportiva Almería;15M;Right;5;CAM
L. Provod;24;Czech Republic;77;SK Slavia Praha;16M;Left;17;CM
Renan Lodi;23;Brazil;81;Atlético de Madrid;36.5M;Left;12;LWB
M. Arnold;27;Germany;81;VfL Wolfsburg;26.5M;Left;27;CM
17 J. Vargas;31;Peru;76;Real Betis Balompié;2.3M;Left;2;LWB
I. Bennacer;23;Algeria;80;AC Milan;30M;Left;4;CM
E. Banega;33;Argentina;82;Al Shabab;15M;Right;10;CDM
H. Herrera;31;Mexico;81;Atlético de Madrid;21M;Right;16;CM
Marcelo;33;Brazil;80;Real Madrid CF;11M;Left;12;CAM
W. McKennie;22;United States;77;Juventus;16M;Right;14;CB
T. Lemar;25;France;83;Atlético de Madrid;48M;Left;11;CAM
I. Perišić;32;Croatia;81;Inter;20.5M;Left;14;LM
Arthur;24;Brazil;83;Juventus;47M;Right;5;CM
17 S. Gerrard;36;England;81;LA Galaxy;1.4M;Right;8;CM
Capa;29;Spain;80;Athletic Club de Bilbao;18.5M;Right;21;RB
P. Ševčík;27;Czech Republic;77;SK Slavia Praha;12M;Right;23;CAM
Oscar;29;Brazil;82;Shanghai Port FC;30M;Right;8;CAM
T. Kroos;31;Germany;88;Real Madrid CF;75M;Right;8;CM
F. Mendy;26;France;83;Real Madrid CF;43.5M;Left;23;LWB
Alex Sandro;30;Brazil;83;Juventus;31.5M;Left;12;LB
Diogo Jota;24;Portugal;82;Liverpool;46M;Right;20;ST
L. Stindl;32;Germany;82;Borussia Mönchengladbach;24M;Right;13;CAM
M. Pjanić;31;Bosnia and Herzegovina;82;Beşiktaş JK;25M;Right;15;CM
J. Tavernier;29;England;77;Rangers FC;9.5M;Right;2;RB
O. Zinchenko;24;Ukraine;80;Manchester City;29.5M;Left;11;LB
Pizzi;31;Portugal;81;SL Benfica;21M;Right;21;CM
17 P. Lahm;32;Germany;88;FC Bayern München;29.5M;Right;21;RWB
H. Mkhitaryan;32;Armenia;83;Roma;29.5M;Right;77;CF
M. Rashford;23;England;85;Manchester United;77.5M;Right;10;CAM
L. Martínez;23;Argentina;85;Inter;78M;Right;10;ST
H. Son;28;Korea Republic;89;Tottenham Hotspur;104M;Right;7;LM
D. van de Beek;24;Netherlands;81;Manchester United;38.5M;Right;34;CM
T. Koopmeiners;23;Netherlands;79;Atalanta;24.5M;Left;7;CM
J. Milner;35;England;79;Liverpool;7M;Right;7;CDM
19 Filipe Luís;32;Brazil;85;Atlético de Madrid;21.5M;Left;3;LWB
Sérgio Oliveira;29;Portugal;80;FC Porto;20.5M;Right;27;CM
A. Golovin;25;Russia;79;AS Monaco;24.5M;Right;17;RM
Z. Junuzović;33;Austria;76;FC Red Bull Salzburg;4.6M;Right;16;CM
20 T. Vilhena;24;Netherlands;78;;0;Left;18;CM
M. Hamšík;33;Slovakia;80;Trabzonspor;13M;Right;17;CM
J. Ward-Prowse;26;England;81;Southampton;33.5M;Right;8;CM
C. Aránguiz;32;Chile;80;Bayer 04 Leverkusen;14M;Right;20;CDM
